subNum,Group,q2,q5,q10,q15,q30,q60,q90
2,New,5.1,22.4,76.2,154.4,575.6,,
3,New,2.3,9.6,31.4,63,215.2,736.9,
5,New,2.2,9.1,27.3,54.6,185.8,649.8,1336.8
6,New,2,9.1,28.1,55.9,198.4,702.8,1444.7
9,New,4.8,24.1,87.7,194.8,742.4,,
10,New,3.6,16.5,52.1,106.1,354.4,1221.5,
11,New,0.8,4,12.8,25.3,81.2,265.7,534.8
12,New,5.4,25.8,87.6,183.1,656.4,,
13,New,1.2,5.3,16,30.5,97.5,331.1,681.1
14,New,4.2,17.9,54.5,106.8,355.2,1232.1,
2,Old,4.8,23.4,84.1,180.2,671.4,,
3,Old,2.3,9.6,31.3,63.2,215.4,733.1,
5,Old,2.2,9.5,28.4,56.1,189.7,654.9,1335.1
6,Old,2.2,9.7,29.7,58.4,198.2,701.5,1444.5
9,Old,4.9,24.9,89.3,197.6,744,,
10,Old,4.3,18.7,56.5,115.9,384.1,1317.8,
11,Old,0.8,4,12.6,24.9,80.6,264.6,533.7
12,Old,5.2,23.4,82.2,167.2,588.6,,
13,Old,1,5.3,16.6,31.6,101,350.1,713.3
14,Old,4.3,19,59.1,117.1,398.1,1459,
