age,mass_kg,height_cm,activityLevel,minuteVol_lpm
0,3.3,50,LowActivity,1.52
2,13,88,LowActivity,2.75
4,16.4,104,LowActivity,3.18
6,22,115,LowActivity,3.89
8,27,127,LowActivity,4.53
10,34,138,LowActivity,5.42
12,43,150,LowActivity,6.56
14,54,162,LowActivity,7.96
16,63,170,LowActivity,9.1
18,70,175,LowActivity,10
0,3.3,50,LightExertion,3
2,13,88,LightExertion,5.48
4,16.4,104,LightExertion,6.34
6,22,115,LightExertion,7.77
8,27,127,LightExertion,9.05
10,34,138,LightExertion,10.8
12,43,150,LightExertion,13.1
14,54,162,LightExertion,15.9
16,63,170,LightExertion,18.2
18,70,175,LightExertion,20
0,3.3,50,HeavyExertion,8.92
2,13,88,HeavyExertion,16.4
4,16.4,104,HeavyExertion,19
6,22,115,HeavyExertion,23.2
8,27,127,HeavyExertion,27.1
10,34,138,HeavyExertion,32.4
12,43,150,HeavyExertion,39.3
14,54,162,HeavyExertion,47.8
16,63,170,HeavyExertion,54.6
18,70,175,HeavyExertion,60
