date,dayRun,fluidFlag,subNum,attFlag,Tfluid,Pfluid,Qstp,PDrop
2017-07-10,1,1,3,1,24.0,92.9,5.00,27.9
2017-07-10,1,1,3,1,24.0,92.9,5.00,28.1
2017-07-10,1,1,3,1,24.0,92.9,5.00,27.8
2017-07-10,1,1,3,1,24.0,92.7,10.02,91.5
2017-07-10,1,1,3,1,24.0,92.7,10.01,98.1
2017-07-10,1,1,3,1,24.0,92.7,10.00,90.8
2017-07-10,1,1,3,1,24.0,92.5,14.99,181.4
2017-07-10,1,1,3,1,24.0,92.5,15.02,183.3
2017-07-10,1,1,3,1,24.0,92.5,15.03,182.7
2017-07-10,1,1,3,1,23.9,91.4,30.09,624.0
2017-07-10,1,1,3,1,23.9,91.4,30.07,625.0
2017-07-10,1,1,3,1,23.9,91.4,30.07,626.0
2017-07-10,1,1,3,0,24.1,92.9,5.00,23.5
2017-07-10,1,1,3,0,24.1,92.9,4.99,24.1
2017-07-10,1,1,3,0,24.1,92.9,5.00,23.3
2017-07-10,1,1,3,0,24.1,92.7,9.99,77.8
2017-07-10,1,1,3,0,24.1,92.7,9.99,77.2
2017-07-10,1,1,3,0,24.1,92.7,9.98,77.6
2017-07-10,1,1,3,0,24.0,92.5,15.02,156.2
2017-07-10,1,1,3,0,24.0,92.5,15.01,155.1
2017-07-10,1,1,3,0,24.0,92.5,15.02,156.4
2017-07-10,1,1,3,0,24.0,91.5,30.02,535.0
2017-07-10,1,1,3,0,24.0,91.5,30.00,538.0
2017-07-10,1,1,3,0,24.0,91.5,30.01,537.0
2017-07-10,1,1,12,1,24.2,92.8,5.01,65.7
2017-07-10,1,1,12,1,24.2,92.8,5.00,64.4
2017-07-10,1,1,12,1,24.2,92.8,5.00,65.0
2017-07-10,1,1,12,1,24.2,92.5,9.99,214.0
2017-07-10,1,1,12,1,24.2,92.5,10.00,216.0
2017-07-10,1,1,12,1,24.2,92.5,9.99,215.0
2017-07-10,1,1,12,1,24.1,92.1,15.00,438.0
2017-07-10,1,1,12,1,24.1,92.1,14.99,437.0
2017-07-10,1,1,12,1,24.1,92.1,15.00,439.0
2017-07-10,1,1,12,1,24.1,90.5,30.06,1524.0
2017-07-10,1,1,12,1,24.1,90.5,30.01,1521.0
2017-07-10,1,1,12,1,24.1,90.5,30.02,1522.0
2017-07-10,1,1,12,0,24.3,92.8,5.00,55.3
2017-07-10,1,1,12,0,24.3,92.8,5.00,55.0
2017-07-10,1,1,12,0,24.3,92.8,5.00,55.6
2017-07-10,1,1,12,0,24.2,92.5,10.00,184.2
2017-07-10,1,1,12,0,24.2,92.5,9.99,183.3
2017-07-10,1,1,12,0,24.2,92.5,10.00,184.0
2017-07-10,1,1,12,0,24.2,92.2,15.00,375.0
2017-07-10,1,1,12,0,24.2,92.2,14.97,376.0
2017-07-10,1,1,12,0,24.2,92.2,14.99,376.0
2017-07-10,1,1,12,0,24.2,90.7,30.02,1322.0
2017-07-10,1,1,12,0,24.2,,29.97,1323.0
2017-07-10,1,1,12,0,24.2,,30.01,1321.0
2017-07-10,1,1,5,1,24.5,92.8,5.00,30.2
2017-07-10,1,1,5,1,24.5,,5.00,30.9
2017-07-10,1,1,5,1,24.5,,5.00,31.0
2017-07-10,1,1,5,1,24.4,92.6,10.00,97.7
2017-07-10,1,1,5,1,24.4,,9.99,98.3
2017-07-10,1,1,5,1,24.4,,10.01,97.1
2017-07-10,1,1,5,1,24.4,92.4,15.03,194.2
2017-07-10,1,1,5,1,24.4,,15.04,194.7
2017-07-10,1,1,5,1,24.4,,15.05,193.4
2017-07-10,1,1,5,1,24.4,91.3,30.03,660.0
2017-07-10,1,1,5,1,24.4,,29.99,658.0
2017-07-10,1,1,5,1,24.4,,30.08,659.0
2017-07-10,1,1,5,0,24.6,92.8,5.00,27.5
2017-07-10,1,1,5,0,24.6,,5.00,27.7
2017-07-10,1,1,5,0,24.6,,5.00,27.3
2017-07-10,1,1,5,0,24.5,92.6,10.01,86.2
2017-07-10,1,1,5,0,24.5,,9.98,87.8
