dateRun,alicatHeliumReading,actualHelioxFlowRate,tsiAirReading
2017-09-26,4.6,5.05,49.0
2017-09-26,9.1,10.00,73.6
2017-09-26,13.7,15.05,94.4
2017-09-26,27.3,30.00,146.6
2017-09-26,54.7,60.11,253.4
2018-02-01,4.6,5.05,48.7
2018-02-01,4.6,5.05,49.1
2018-02-01,4.6,5.05,48.7
2018-02-01,9.1,10.00,73.7
2018-02-01,9.1,10.00,73.2
2018-02-01,9.1,10.00,73.7
2018-02-01,13.7,15.05,94.0
2018-02-01,13.7,15.05,94.0
2018-02-01,13.7,15.05,94.1
2018-02-01,27.3,30.00,146.6
2018-02-01,27.3,30.00,146.5
2018-02-01,27.3,30.00,146.6
2018-02-01,54.7,60.11,250.0
2018-02-01,54.7,60.11,250.1
2018-02-01,54.7,60.11,249.9
2018-02-01,4.6,5.05,49.0
2018-02-01,4.6,5.05,49.0
2018-02-01,4.6,5.05,49.0
2018-02-01,9.1,10.00,73.3
2018-02-01,9.1,10.00,73.7
2018-02-01,9.1,10.00,73.3
2018-02-01,13.7,15.05,94.1
2018-02-01,13.7,15.05,94.0
2018-02-01,13.7,15.05,94.0
2018-02-01,27.3,30.00,146.6
2018-02-01,27.3,30.00,146.3
2018-02-01,27.3,30.00,146.7
2018-02-01,54.7,60.11,250.0
2018-02-01,54.7,60.11,250.1
2018-02-01,54.7,60.11,250.0
